#z i RadiusInner SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic RadiusOuter SDensitySFR  MetallicityCold MetallicityStar MassProfStar MassStar MassBin RadiusIso
3 190 170.358 1.57932e-263 0 0 1.57932e-263 178.387 0 0 0 0 0 10 5621.92
3 191 178.387 8.81787e-276 0 0 8.81787e-276 186.794 0 0 0 0 0 10 5886.88
3 192 186.794 1.30396e-288 0 0 1.30396e-288 195.598 0 0 0 0 0 10 6164.32
3 193 195.598 4.7971e-302 0 0 4.7971e-302 204.816 0 0 0 0 0 10 6454.83
3 194 204.816 4.1117e-316 0 0 4.1117e-316 214.469 0 0 0 0 0 10 6759.04
3 195 214.469 0 0 0 0 224.576 0 0 0 0 0 10 7077.58
3 196 224.576 0 0 0 0 235.16 0 0 0 0 0 10 7411.14
3 197 235.16 0 0 0 0 246.243 0 0 0 0 0 10 7760.41
3 198 246.243 0 0 0 0 257.848 0 0 0 0 0 10 8126.15
3 199 257.848 0 0 0 0 270 0 0 0 0 0 10 8509.12
2.5 0 0.027 0.102012 0 0 0.102012 0.0282725 0 0 0 0 0 10 0.891015
2.5 1 0.0282725 0.101461 0 0 0.101461 0.0296049 0 0 0 0 0 10 0.933007
2.5 2 0.0296049 0.100886 0 0 0.100886 0.0310001 0 0 0 0 0 10 0.976978
2.5 3 0.0310001 0.100289 0 0 0.100289 0.0324611 0 0 0 0 0 10 1.02302
2.5 4 0.0324611 0.0996682 0 0 0.0996682 0.033991 0 0 0 0 0 10 1.07124
2.5 5 0.033991 0.0990227 0 0 0.0990227 0.0355929 0 0 0 0 0 10 1.12172
2.5 6 0.0355929 0.0983519 0 0 0.0983519 0.0372704 0 0 0 0 0 10 1.17459
2.5 7 0.0372704 0.097655 0 0 0.097655 0.0390269 0 0 0 0 0 10 1.22994
2.5 8 0.0390269 0.0969314 0 0 0.0969314 0.0408662 0 0 0 0 0 10 1.28791
2.5 9 0.0408662 0.0961803 0 0 0.0961803 0.0427921 0 0 0 0 0 10 1.34861
2.5 10 0.0427921 0.0954009 0 0 0.0954009 0.0448088 0 0 0 0 0 10 1.41216
2.5 11 0.0448088 0.0945926 0 0 0.0945926 0.0469206 0 0 0 0 0 10 1.47872
