#i RadiusInner SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic RadiusOuter MassProfHalo MassProfStar MassProfCold MassProfHot DensityProfHot TemperatureProfHot CoolingRate CoolingTime SDensitySFR SDensityOFR SDensityCAR MassProfDM MassProfDMContracted MassMetalCold MassMetalStar SDensityMetalCold SDensityMetalStar MetallicityCold MetallicityStar MassBin RadiusIso
71 0.710172 38.2139 0 0 38.2139 0.743642 7.45618e+07 0 1.22696e+08 13446.4 5118.91 37989.5 8455.11 0.134547 0 0 8.8988e+09 0 0 0 0 0 0 0 0 10 23.4361
72 0.743642 35.6941 0 0 35.6941 0.778689 8.09479e+07 0 1.28677e+08 14683.1 4846.59 38533.4 8411.54 0.14702 0 0 8.67919e+09 0 0 0 0 0 0 0 0 10 24.5406
73 0.778689 33.2709 0 0 33.2709 0.815387 8.78461e+07 0 1.3479e+08 16026.7 4586.32 39071.1 8366.42 0.160598 0 0 8.45503e+09 0 0 0 0 0 0 0 0 10 25.6971
74 0.815387 30.9456 0 0 30.9456 0.853815 9.52931e+07 0 1.41025e+08 17485.8 4337.67 39602 8319.68 0.175374 0 0 8.22651e+09 0 0 0 0 0 0 0 0 10 26.9082
75 0.853815 28.7194 0 0 28.7194 0.894054 1.03328e+08 0 1.47369e+08 19069.3 4100.23 40125.3 8349.86 0.189646 0 0 7.99384e+09 0 0 0 0 0 0 0 0 10 28.1764
76 0.894054 26.593 0 0 26.593 0.936189 1.11991e+08 0 1.5381e+08 20786.9 3873.61 40640.3 8427.47 0.203814 0 0 7.75725e+09 0 0 0 0 0 0 0 0 10 29.5043
77 0.936189 24.5666 0 0 24.5666 0.980311 1.21326e+08 0 1.60334e+08 22649 3657.42 41146.1 8499.9 0.219067 0 0 7.51702e+09 0 0 0 0 0 0 0 0 10 30.8948
78 0.980311 22.6403 0 0 22.6403 1.02651 1.31378e+08 0 1.66926e+08 24666.4 3451.27 41642 8566.95 0.235488 0 0 7.27343e+09 0 0 0 0 0 0 0 0 10 32.3508
79 1.02651 20.8137 0 0 20.8137 1.07489 1.42195e+08 0 1.73571e+08 26850.8 3254.81 42127.2 8628.3 0.253172 0 0 7.02682e+09 0 0 0 0 0 0 0 0 10 33.8754
80 1.07489 19.0859 0 0 19.0859 1.12555 1.53827e+08 0 1.80253e+08 29214.7 3067.68 42600.9 8683.78 0.272218 0 0 6.77754e+09 0 0 0 0 0 0 0 0 10 35.4719
81 1.12555 17.4559 0 0 17.4559 1.17859 1.66327e+08 0 1.86953e+08 31771.2 2889.53 43062.3 8733.15 0.292733 0 0 6.52599e+09 0 0 0 0 0 0 0 0 10 37.1437
82 1.17859 15.9224 0 0 15.9224 1.23414 1.79749e+08 0 1.93654e+08 34534.2 2720.03 43510.6 8776.18 0.314835 0 0 6.27258e+09 0 0 0 0 0 0 0 0 10 38.8942
83 1.23414 14.4834 0 0 14.4834 1.2923 1.94151e+08 0 2.00337e+08 37518.7 2558.85 43944.9 8812.71 0.33865 0 0 6.01777e+09 0 0 0 0 0 0 0 0 10 40.7272
84 1.2923 13.1371 0 0 13.1371 1.35321 2.09592e+08 0 2.06984e+08 40740.1 2405.67 44364.6 8842.51 0.364314 0 0 5.76204e+09 0 0 0 0 0 0 0 0 10 42.6466
85 1.35321 11.881 0 0 11.881 1.41698 2.26134e+08 0 2.13575e+08 44215.2 2260.19 44768.8 8901.35 0.390395 0 0 5.5059e+09 0 0 0 0 0 0 0 0 10 44.6565
86 1.41698 10.7126 0 0 10.7126 1.48376 2.43841e+08 0 2.20091e+08 47961.3 2122.09 45156.7 9056.85 0.413622 0 0 5.24988e+09 0 0 0 0 0 0 0 0 10 46.7611
87 1.48376 9.62909 0 0 9.62909 1.55369 2.6278e+08 0 2.26513e+08 51996.9 1991.1 45527.6 9200.24 0.438642 0 0 4.99454e+09 0 0 0 0 0 0 0 0 10 48.9649
88 1.55369 8.62745 0 0 8.62745 1.62691 2.83019e+08 0 2.32822e+08 56341.4 1866.93 45880.8 9330.58 0.465623 0 0 4.74047e+09 0 0 0 0 0 0 0 0 10 51.2725
89 1.62691 7.70447 0 0 7.70447 1.70358 3.0463e+08 0 2.39e+08 61015.3 1749.3 46215.5 9447.17 0.49474 0 0 4.48827e+09 0 0 0 0 0 0 0 0 10 53.6889
90 1.70358 6.85678 0 0 6.85678 1.78387 3.27683e+08 0 2.45027e+08 66040 1637.93 46531.1 9549.22 0.526192 0 0 4.23855e+09 0 0 0 0 0 0 0 0 10 56.2192
91 1.78387 6.08091 0 0 6.08091 1.86794 3.52254e+08 0 2.50889e+08 71438.1 1532.58 46826.9 9636.04 0.560198 0 0 3.99194e+09 0 0 0 0 0 0 0 0 10 58.8688
92 1.86794 5.37326 0 0 5.37326 1.95598 3.7842e+08 0 2.56567e+08 77233.2 1432.99 47102.2 9707.02 0.596998 0 0 3.74908e+09 0 0 0 0 0 0 0 0 10 61.6432
93 1.95598 4.73016 0 0 4.73016 2.04816 4.06257e+08 0 2.62048e+08 83450 1338.91 47356.5 9761.72 0.636855 0 0 3.51058e+09 0 0 0 0 0 0 0 0 10 64.5483
94 2.04816 4.1479 0 0 4.1479 2.14469 4.35844e+08 0 2.67318e+08 90114.4 1250.1 47589.3 9799.64 0.680065 0 0 3.2771e+09 0 0 0 0 0 0 0 0 10 67.5904
95 2.14469 3.62276 0 0 3.62276 2.24576 4.67262e+08 0 2.72364e+08 97253.4 1166.33 47799.9 9820.47 0.726951 0 0 3.04923e+09 0 0 0 0 0 0 0 0 10 70.7758
96 2.24576 3.15102 0 0 3.15102 2.3516 5.00591e+08 0 2.77177e+08 104895 1087.38 47988 9823.95 0.777875 0 0 2.82759e+09 0 0 0 0 0 0 0 0 10 74.1114
97 2.3516 2.72897 0 0 2.72897 2.46243 5.35913e+08 0 2.81746e+08 113069 1013.02 48153.1 9809.98 0.83323 0 0 2.61275e+09 0 0 0 0 0 0 0 0 10 77.6041
98 2.46243 2.35298 0 0 2.35298 2.57848 5.73311e+08 0 2.86066e+08 121806 943.044 48294.8 9778.56 0.893454 0 0 2.40526e+09 0 0 0 0 0 0 0 0 10 81.2615
99 2.57848 2.0195 0 0 2.0195 2.7 6.12865e+08 0 2.90132e+08 131137 877.247 48412.8 9729.71 0.959041 0 0 2.20563e+09 0 0 0 0 0 0 0 0 10 85.0912
100 2.7 1.72505 0 0 1.72505 2.82725 6.54659e+08 0 2.93939e+08 141096 815.429 48506.9 9663.67 1.03053 0 0 2.01433e+09 0 0 0 0 0 0 0 0 10 89.1015
101 2.82725 1.46628 0 0 1.46628 2.96049 6.98773e+08 0 2.97487e+08 151716 757.398 48576.8 9580.71 1.10852 0 0 1.83177e+09 0 0 0 0 0 0 0 0 10 93.3007
102 2.96049 1.23997 0 0 1.23997 3.10001 7.45289e+08 0 3.00776e+08 163034 702.967 48622.3 9481.26 1.19367 0 0 1.65831e+09 0 0 0 0 0 0 0 0 10 97.6978
103 3.10001 1.04304 0 0 1.04304 3.24611 7.94286e+08 0 3.0381e+08 175085 651.955 48643.4 9365.84 1.28673 0 0 1.49426e+09 0 0 0 0 0 0 0 0 10 102.302
104 3.24611 0.872581 0 0 0.872581 3.3991 8.45843e+08 0 3.06593e+08 187908 604.189 48640.1 9235.06 1.38851 0 0 1.33984e+09 0 0 0 0 0 0 0 0 10 107.124
105 3.3991 0.725819 0 0 0.725819 3.55929 9.00036e+08 0 3.0913e+08 201542 559.501 48612.3 9089.6 1.49993 0 0 1.19522e+09 0 0 0 0 0 0 0 0 10 112.172
106 3.55929 0.600172 0 0 0.600172 3.72704 9.56941e+08 0 3.11431e+08 216027 517.729 48560.2 8930.25 1.62201 0 0 1.06048e+09 0 0 0 0 0 0 0 0 10 117.459
107 3.72704 0.493228 0 0 0.493228 3.90269 1.01663e+09 0 3.13503e+08 231404 478.715 48483.9 8757.87 1.75588 0 0 9.35649e+08 0 0 0 0 0 0 0 0 10 122.994
108 3.90269 0.402753 0 0 0.402753 4.08662 1.07917e+09 0 3.15359e+08 247718 442.311 48383.5 8573.37 1.90279 0 0 8.20651e+08 0 0 0 0 0 0 0 0 10 128.791
109 4.08662 0.326693 0 0 0.326693 4.27921 1.14463e+09 0 3.17009e+08 265011 408.372 48259.5 8377.78 2.06415 0 0 7.15352e+08 0 0 0 0 0 0 0 0 10 134.861
110 4.27921 0.263169 0 0 0.263169 4.48088 1.21308e+09 0 3.18466e+08 283329 376.758 48112.1 8172.09 2.24153 0 0 6.19542e+08 0 0 0 0 0 0 0 0 10 141.216
111 4.48088 0.210475 0 0 0.210475 4.69206 1.28457e+09 0 3.19744e+08 302718 347.337 47941.6 7957.4 2.43666 0 0 5.3294e+08 0 0 0 0 0 0 0 0 10 147.872
112 4.69206 0.167075 0 0 0.167075 4.91319 1.35917e+09 0 3.20856e+08 323227 319.98 47748.7 7734.83 2.65148 0 0 4.55201e+08 0 0 0 0 0 0 0 0 10 154.841
113 4.91319 0.131593 0 0 0.131593 5.14474 1.43691e+09 0 3.21816e+08 344904 294.566 47533.6 7505.43 2.88817 0 0 3.85924e+08 0 0 0 0 0 0 0 0 10 162.138
114 5.14474 0.102807 0 0 0.102807 5.38721 1.51787e+09 0 3.22638e+08 367799 270.978 47297.1 7270.4 3.14913 0 0 3.24655e+08 0 0 0 0 0 0 0 0 10 169.779
115 5.38721 0.07964 0 0 0.07964 5.6411 1.60206e+09 0 3.23336e+08 391965 249.103 47039.8 7030.86 3.43705 0 0 2.70896e+08 0 0 0 0 0 0 0 0 10 177.781
116 5.6411 0.0611513 0 0 0.0611513 5.90696 1.68955e+09 0 3.23923e+08 417453 228.836 46762.2 6787.86 3.75497 0 0 2.24119e+08 0 0 0 0 0 0 0 0 10 186.159
117 5.90696 0.0465246 0 0 0.0465246 6.18534 1.78035e+09 0 3.24414e+08 444318 210.074 46465.2 6542.5 4.10624 0 0 1.8377e+08 0 0 0 0 0 0 0 0 10 194.933
118 6.18534 0.0350582 0 0 0.0350582 6.47685 1.87451e+09 0 3.24818e+08 472615 192.721 46149.4 6295.88 4.49458 0 0 1.49282e+08 0 0 0 0 0 0 0 0 10 204.12
119 6.47685 0.0261545 0 0 0.0261545 6.78209 1.97205e+09 0 3.25149e+08 502402 176.686 45815.7 6048.99 4.92419 0 0 1.20084e+08 0 0 0 0 0 0 0 0 10 213.74
120 6.78209 0.0193092 0 0 0.0193092 7.10172 2.07298e+09 0 3.25417e+08 533735 161.881 45464.8 5802.77 5.39977 0 0 9.56117e+07 0 0 0 0 0 0 0 0 10 223.813
121 7.10172 0.0141008 0 0 0.0141008 7.43642 2.17733e+09 0 3.25632e+08 566676 148.223 45097.8 5558.16 5.9265 0 0 7.53131e+07 0 0 0 0 0 0 0 0 10 234.361
122 7.43642 0.0101807 0 0 0.0101807 7.78689 2.2851e+09 0 3.25801e+08 601284 135.634 44715.4 5315.99 6.51026 0 0 5.86606e+07 0 0 0 0 0 0 0 0 10 245.406
123 7.78689 0.00726347 0 0 0.00726347 8.15387 2.39631e+09 0 3.25934e+08 637624 124.04 44318.6 5149.45 7.05693 0 0 4.51551e+07 0 0 0 0 0 0 0 0 10 256.971
124 8.15387 0.00511819 0 0 0.00511819 8.53815 2.51094e+09 0 3.26036e+08 675758 113.371 43908.4 4994.08 7.63594 0 0 3.4333e+07 0 0 0 0 0 0 0 0 10 269.082
125 8.53815 0.00356002 0 0 0.00356002 8.94054 2.629e+09 0 3.26115e+08 715754 103.562 43485.7 4840.13 8.26343 0 0 2.57697e+07 0 0 0 0 0 0 0 0 10 281.764
126 8.94054 0.00244286 0 0 0.00244286 9.36189 2.75048e+09 0 3.26173e+08 757680 94.5507 43051.5 4687.86 8.94346 0 0 1.90825e+07 0 0 0 0 0 0 0 0 10 295.043
127 9.36189 0.00165268 0 0 0.00165268 9.80311 2.87537e+09 0 3.26217e+08 801605 86.2783 42606.9 4537.53 9.6805 0 0 1.39319e+07 0 0 0 0 0 0 0 0 10 308.948
