#i RadiusInner RadiusOuter RadiusIso SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic MassProfHalo MassProfStar MassProfCold MassProfHot DensityProfHot TemperatureProfHot CoolingRate CoolingTime SDensitySFR SDensityOFR SDensityCAR StellarAge MassProfDM MassProfDMContracted MassMetalCold MassMetalStar SDensityMetalCold SDensityMetalStar MetallicityCold MetallicityStar MassStar MassHalo
49 0.300832 0.315009 0.202346 638.749 4340.22 634.111 4.63745 4.56686e+07 1.56519e+09 3.24269e+07 1640.77 12505.4 1.85237e+06 116.987 1.80574 4.91226e+14 6.01396e+15 5.28509e+14 -0.257075 0 0 201824 926483 7.35777 33.7763 0.011519 0.00778215 2.7425e+10 9.98021e+11
50 0.315009 0.329855 0.211883 633.347 4247.36 628.71 4.63775 5.00376e+07 1.69294e+09 3.57616e+07 1883.2 12499.8 1.85181e+06 134.295 1.80525 4.855e+14 5.94387e+15 5.22474e+14 -0.302158 0 0 219401 996830 7.29481 33.1433 0.0115179 0.00780326 2.7425e+10 9.98021e+11
51 0.329855 0.345401 0.221868 627.74 4152.86 623.102 4.63805 5.48227e+07 1.82989e+09 3.9439e+07 2161.42 12493.9 1.85123e+06 154.161 1.80475 4.79577e+14 5.87135e+15 5.16228e+14 -0.348624 0 0 238413 1.07164e+06 7.22945 32.4956 0.0115166 0.00782487 2.7425e+10 9.98021e+11
52 0.345401 0.361679 0.232325 621.92 4056.75 617.282 4.63837 6.00632e+07 1.97658e+09 4.34944e+07 2480.71 12487.8 1.85063e+06 176.967 1.80421 4.73451e+14 5.79636e+15 5.09768e+14 -0.396462 0 0 258963 1.15109e+06 7.16163 31.8333 0.0115154 0.007847 2.7425e+10 9.98021e+11
53 0.361679 0.378724 0.243274 615.884 3959.14 611.245 4.6387 6.58023e+07 2.13356e+09 4.79665e+07 2847.11 12481.3 1.84999e+06 203.143 1.80366 4.67122e+14 5.71887e+15 5.0309e+14 -0.445727 0 0 281159 1.23532e+06 7.0913 31.157 0.011514 0.00786963 2.7425e+10 9.98021e+11
54 0.378724 0.396573 0.254739 609.624 3860.08 604.985 4.63904 7.20868e+07 2.30137e+09 5.28978e+07 3267.57 12474.6 1.84933e+06 233.189 1.80307 4.60585e+14 5.63883e+15 4.96191e+14 -0.49624 0 0 305114 1.3245e+06 7.01838 30.4667 0.0115126 0.00789277 2.7425e+10 9.98021e+11
55 0.396573 0.415263 0.266745 603.137 3759.68 598.498 4.63939 7.89683e+07 2.48058e+09 5.83352e+07 3750.04 12467.6 1.84863e+06 267.677 1.80246 4.53838e+14 5.55623e+15 4.89069e+14 -0.548028 0 0 330950 1.41875e+06 6.94283 29.7632 0.0115112 0.00791642 2.7425e+10 9.98021e+11
56 0.415263 0.434834 0.279316 596.417 3658.03 591.778 4.63975 8.65029e+07 2.67178e+09 6.43301e+07 4303.67 12460.2 1.8479e+06 307.261 1.80183 4.46879e+14 5.47104e+15 4.8172e+14 -0.60115 0 0 358790 1.51818e+06 6.86459 29.0468 0.0115097 0.00794055 2.7425e+10 9.98021e+11
57 0.434834 0.455327 0.29248 589.46 3555.22 584.82 4.64012 9.47522e+07 2.87552e+09 7.09388e+07 4938.94 12452.5 1.84714e+06 352.695 1.80116 4.39707e+14 5.38324e+15 4.74143e+14 -0.655692 0 0 388764 1.62289e+06 6.78359 28.318 0.0115081 0.00796518 2.7425e+10 9.98021e+11
58 0.455327 0.476786 0.306264 582.261 3451.39 577.621 4.64051 1.03783e+08 3.0924e+09 7.82233e+07 5667.84 12444.5 1.84635e+06 404.845 1.80046 4.32321e+14 5.29281e+15 4.66337e+14 -0.71167 0 0 421005 1.73294e+06 6.6998 27.5776 0.0115065 0.00799029 2.7425e+10 9.98021e+11
59 0.476786 0.499256 0.320698 574.816 3346.65 570.175 4.6409 1.1367e+08 3.32299e+09 8.62513e+07 6504.17 12436.1 1.84552e+06 464.697 1.79973 4.2472e+14 5.19975e+15 4.58301e+14 -0.769093 0 0 455654 1.84836e+06 6.61317 26.8263 0.0115048 0.00801586 2.7425e+10 9.98021e+11
60 0.499256 0.522785 0.335812 567.12 3241.12 562.479 4.64131 1.24491e+08 3.56785e+09 9.5097e+07 7463.73 12427.3 1.84465e+06 533.394 1.79896 4.16904e+14 5.10407e+15 4.50034e+14 -0.827903 0 0 492851 1.96916e+06 6.52364 26.0648 0.0115031 0.0080419 2.7425e+10 9.98021e+11
61 0.522785 0.547423 0.351638 559.171 3134.95 554.529 4.64173 1.36336e+08 3.82754e+09 1.04841e+08 8564.63 12418.1 1.84374e+06 612.236 1.79817 4.08875e+14 5.00576e+15 4.41537e+14 -0.888116 0 0 532742 2.09528e+06 6.43119 25.294 0.0115013 0.00806838 2.7425e+10 9.98021e+11
62 0.547423 0.573223 0.36821 550.965 3028.27 546.323 4.64216 1.49299e+08 4.1026e+09 1.15573e+08 9827.66 12408.5 1.84278e+06 702.724 1.79733 4.00633e+14 4.90486e+15 4.32812e+14 -0.949771 0 0 575474 2.22666e+06 6.33578 24.5147 0.0114994 0.0080953 2.7425e+10 9.98021e+11
63 0.573223 0.600238 0.385563 542.5 2921.23 537.858 4.6426 1.63485e+08 4.39353e+09 1.27389e+08 11276.6 12398.4 1.84179e+06 806.573 1.79646 3.92181e+14 4.80139e+15 4.23861e+14 -1.01288 0 0 621196 2.36314e+06 6.23739 23.7281 0.0114975 0.00812264 2.7425e+10 9.98021e+11
64 0.600238 0.628526 0.403734 533.775 2813.99 529.131 4.64306 1.79008e+08 4.70082e+09 1.40393e+08 12938.9 12387.9 1.84075e+06 925.755 1.79554 3.83523e+14 4.69538e+15 4.14686e+14 -1.07742 0 0 670054 2.50453e+06 6.13598 22.9351 0.0114955 0.00815039 2.7425e+10 9.98021e+11
65 0.628526 0.658148 0.422762 524.786 2706.71 520.143 4.64352 1.95992e+08 5.02491e+09 1.54701e+08 14845.7 12376.9 1.83966e+06 1062.53 1.79459 3.74662e+14 4.5869e+15 4.05291e+14 -1.14336 0 0 722197 2.65059e+06 6.03156 22.1369 0.0114934 0.00817851 2.7425e+10 9.98021e+11
66 0.658148 0.689165 0.442686 515.535 2599.57 510.891 4.64399 2.14573e+08 5.36621e+09 1.70437e+08 17032.9 12365.4 1.83852e+06 1219.5 1.79359 3.65603e+14 4.47599e+15 3.95682e+14 -1.21072 0 0 777767 2.80099e+06 5.92412 21.3347 0.0114912 0.008207 2.7425e+10 9.98021e+11
