#z i RadiusInner RadiusOuter RadiusIso SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic SDensitySFR  SDensityOFR SDensityCAR StellarAge MetallicityCold MetallicityStar MassProfStar MassStar MassHalo
3 135 15.7879 16.5319 357.628 2.25736e-31 0 0 2.25736e-31 0 0 4.01772e-20 nan 7.07272e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 136 16.5319 17.311 374.483 6.01021e-33 0 0 6.01021e-33 0 0 1.10372e-21 nan 7.14286e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 137 17.311 18.1269 392.132 1.35135e-34 0 0 1.35135e-34 0 0 2.55954e-23 nan 7.21067e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 138 18.1269 18.9812 410.612 2.54549e-36 0 0 2.54549e-36 0 0 4.9708e-25 nan 7.27616e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 139 18.9812 19.8757 429.964 3.98359e-38 0 0 3.98359e-38 0 0 8.01712e-27 nan 7.33935e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 140 19.8757 20.8125 450.227 5.13427e-40 0 0 5.13427e-40 0 0 1.06448e-28 nan 7.40029e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 141 20.8125 21.7933 471.446 5.40015e-42 0 0 5.40015e-42 0 0 1.15292e-30 nan 7.45899e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 142 21.7933 22.8204 493.665 4.59082e-44 0 0 4.59082e-44 0 0 1.00888e-32 nan 7.51552e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 143 22.8204 23.8959 516.93 3.123e-46 0 0 3.123e-46 0 0 7.06144e-35 nan 7.56991e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 144 23.8959 25.0221 541.292 1.68222e-48 0 0 1.68222e-48 0 0 3.91188e-37 nan 7.62222e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 145 25.0221 26.2013 566.803 7.09639e-51 0 0 7.09639e-51 0 0 1.69642e-39 nan 7.67251e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 146 26.2013 27.4362 593.515 2.31755e-53 0 0 2.31755e-53 0 0 5.69273e-42 nan 7.72082e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 147 27.4362 28.7292 621.487 5.78915e-56 0 0 5.78915e-56 0 0 1.46051e-44 nan 7.76723e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 148 28.7292 30.0832 650.777 1.09219e-58 0 0 1.09219e-58 0 0 2.82869e-47 nan 7.81178e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 149 30.0832 31.5009 681.447 1.53579e-61 0 0 1.53579e-61 0 0 4.08141e-50 nan 7.85454e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 150 31.5009 32.9855 713.562 1.58742e-64 0 0 1.58742e-64 0 0 4.32667e-53 nan 7.89557e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 151 32.9855 34.5401 747.192 1.18869e-67 0 0 1.18869e-67 0 0 3.32128e-56 nan 7.93491e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 152 34.5401 36.1679 782.406 6.35134e-71 0 0 6.35134e-71 0 0 1.81828e-59 nan 7.97264e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 153 36.1679 37.8724 819.279 2.38321e-74 0 0 2.38321e-74 0 0 6.98711e-63 nan 8.0088e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 154 37.8724 39.6573 857.891 6.17615e-78 0 0 6.17615e-78 0 0 1.85342e-66 nan 8.04344e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 155 39.6573 41.5263 898.322 1.0863e-81 0 0 1.0863e-81 0 0 3.33506e-70 nan 8.07662e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 156 41.5263 43.4834 940.659 1.27328e-85 0 0 1.27328e-85 0 0 3.99708e-74 nan 8.10838e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
